level,id,citation,name,parent_title,parent_title_name,parent_chapter,url
Code,,TMC,Topeka Municipal Code (root),,,,https://topeka.municipal.codes/TMC
Index,contents,Contents,Full table of contents,,,,https://topeka.municipal.codes/TMC/contents
Title,1,1,Title 1 General Provisions,1,Title 1 General Provisions,,https://topeka.municipal.codes/TMC/1
Chapter,1.05,1.05,Code Adoption,1,Title 1 General Provisions,,https://topeka.municipal.codes/TMC/1.05
Section,1.05.010,1.05.010,Code adoption.,1,Title 1 General Provisions,1.05,https://topeka.municipal.codes/TMC/1.05.010
Chapter,1.10,1.10,General Provisions,1,Title 1 General Provisions,,https://topeka.municipal.codes/TMC/1.10
Section,1.10.010,1.10.010,Designation and citation of code.,1,Title 1 General Provisions,1.10,https://topeka.municipal.codes/TMC/1.10.010
Section,1.10.020,1.10.020,Definitions and rules of construction.,1,Title 1 General Provisions,1.10,https://topeka.municipal.codes/TMC/1.10.020
Section,1.10.030,1.10.030,Catchlines or headings of sections.,1,Title 1 General Provisions,1.10,https://topeka.municipal.codes/TMC/1.10.030
Section,1.10.040,1.10.040,Parenthetical and reference matter.,1,Title 1 General Provisions,1.10,https://topeka.municipal.codes/TMC/1.10.040
Section,1.10.050,1.10.050,Amendments to code.,1,Title 1 General Provisions,1.10,https://topeka.municipal.codes/TMC/1.10.050
Section,1.10.060,1.10.060,Supplementation of code.,1,Title 1 General Provisions,1.10,https://topeka.municipal.codes/TMC/1.10.060
Section,1.10.070,1.10.070,General penalty – Continuing violations.,1,Title 1 General Provisions,1.10,https://topeka.municipal.codes/TMC/1.10.070
Section,1.10.080,1.10.080,Severability of parts of code.,1,Title 1 General Provisions,1.10,https://topeka.municipal.codes/TMC/1.10.080
Section,1.10.090,1.10.090,Miscellaneous ordinances not affected by code.,1,Title 1 General Provisions,1.10,https://topeka.municipal.codes/TMC/1.10.090
Section,1.10.100,1.10.100,Provisions considered as continuation of existing ordinances.,1,Title 1 General Provisions,1.10,https://topeka.municipal.codes/TMC/1.10.100
Section,1.10.110,1.10.110,"Code does not affect prior offenses, rights, etc.",1,Title 1 General Provisions,1.10,https://topeka.municipal.codes/TMC/1.10.110
Title,2,2,Title 2 Administration and Personnel,2,Title 2 Administration and Personnel,,https://topeka.municipal.codes/TMC/2
Division,2_Div1,2 Div. 1,Division 1. Administration and Officers,2,Title 2 Administration and Personnel,,https://topeka.municipal.codes/TMC/2_Div1
Chapter,2.05,2.05,Seal and Crest,2,Title 2 Administration and Personnel,,https://topeka.municipal.codes/TMC/2.05
Section,2.05.010,2.05.010,Corporate seal.,2,Title 2 Administration and Personnel,2.05,https://topeka.municipal.codes/TMC/2.05.010
Section,2.05.020,2.05.020,Official crest.,2,Title 2 Administration and Personnel,2.05,https://topeka.municipal.codes/TMC/2.05.020
Section,2.05.030,2.05.030,Unauthorized use of corporate seal and City crest.,2,Title 2 Administration and Personnel,2.05,https://topeka.municipal.codes/TMC/2.05.030
Chapter,2.10,2.10,City Records,2,Title 2 Administration and Personnel,,https://topeka.municipal.codes/TMC/2.10
Article,2.10_ArtI,2.10 Art. I,Article I. Photographs of Records,2,Title 2 Administration and Personnel,2.10,https://topeka.municipal.codes/TMC/2.10_ArtI
Section,2.10.010,2.10.010,Records to be photographed.,2,Title 2 Administration and Personnel,2.10,https://topeka.municipal.codes/TMC/2.10.010
Section,2.10.020,2.10.020,File of photographs – Destruction of original records.,2,Title 2 Administration and Personnel,2.10,https://topeka.municipal.codes/TMC/2.10.020
Article,2.10_ArtII,2.10 Art. II,Article II. Public Records,2,Title 2 Administration and Personnel,2.10,https://topeka.municipal.codes/TMC/2.10_ArtII
